"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary.Quote","Stock.Exchange"
"ARWAW","Arowana Inc.","0.0901","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/arwaw","NASDAQ"
"ARQL","ArQule, Inc.","1.81","$113.83M","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/arql","NASDAQ"
"ARRY","Array BioPharma Inc.","3.325","$474.21M","2000","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/arry","NASDAQ"
"ARRS","ARRIS International plc","26.84","$3.94B","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/arrs","NASDAQ"
"DWAT","Arrow DWA Tactical ETF","9.51","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dwat","NASDAQ"
"AROW","Arrow Financial Corporation","26.8","$345.93M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/arow","NASDAQ"
"ARWR","Arrowhead Research Corporation","4.19","$249.53M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/arwr","NASDAQ"
"ARTNA","Artesian Resources Corporation","28.32","$254.97M","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/artna","NASDAQ"
"ARTW","Art&#39;s-Way Manufacturing Co., Inc.","2.74","$11.13M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/artw","NASDAQ"
"ASBB","ASB Bancorp, Inc.","25.11","$110.62M","2011","Finance","Savings Institutions","http://www.nasdaq.com/symbol/asbb","NASDAQ"
"ASNA","Ascena Retail Group, Inc.","7.61","$1.49B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/asna","NASDAQ"
"ASND","Ascendis Pharma A/S","18.25","$458.59M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/asnd","NASDAQ"
"ASCMA","Ascent Capital Group, Inc.","12.96","$164.01M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ascma","NASDAQ"
"ASTI","Ascent Solar Technologies, Inc.","0.069","$6.42M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/asti","NASDAQ"
"APWC","Asia Pacific Wire & Cable Corporation Limited","1.2","$16.58M","n/a","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/apwc","NASDAQ"
"ASML","ASML Holding N.V.","90.36","$38.91B","1995","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asml","NASDAQ"
"AZPN","Aspen Technology, Inc.","34.57","$2.88B","1994","Technology","EDP Services","http://www.nasdaq.com/symbol/azpn","NASDAQ"
"ASMB","Assembly Biosciences, Inc.","5.76","$99.22M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/asmb","NASDAQ"
"ASFI","Asta Funding, Inc.","8.06","$97.29M","1995","Finance","Finance Companies","http://www.nasdaq.com/symbol/asfi","NASDAQ"
"ASTE","Astec Industries, Inc.","35.42","$814.21M","1986","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/aste","NASDAQ"
"ALOT","Astro-Med, Inc.","14.52","$106.59M","1983","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/alot","NASDAQ"
"ATRO","Astronics Corporation","34.28","$917.07M","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/atro","NASDAQ"
"ASTC","Astrotech Corporation","1.26","$26.08M","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/astc","NASDAQ"
"ASUR","Asure Software Inc","5.27","$33.15M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/asur","NASDAQ"
"ATAI","ATA Inc.","5.47","$125.55M","2008","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/atai","NASDAQ"
"ATRA","Atara Biotherapeutics, Inc.","18.67","$534.54M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/atra","NASDAQ"
"ATHN","athenahealth, Inc.","143.91","$5.59B","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/athn","NASDAQ"
"ATHX","Athersys, Inc.","1.23","$102.44M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/athx","NASDAQ"
"AAPC","Atlantic Alliance Partnership Corp.","10.17","$105.64M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/aapc","NASDAQ"
"AAME","Atlantic American Corporation","4.28","$87.94M","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aame","NASDAQ"
"ACBI","Atlantic Capital Bancshares, Inc.","13.5","$328.58M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acbi","NASDAQ"
"ACFC","Atlantic Coast Financial Corporation","5.582","$86.57M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/acfc","NASDAQ"
"ATNI","Atlantic Tele-Network, Inc.","76.04","$1.22B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/atni","NASDAQ"
"ATLC","Atlanticus Holdings Corporation","3.07","$47.07M","1995","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atlc","NASDAQ"
"AAWW","Atlas Air Worldwide Holdings","36.07","$888.44M","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/aaww","NASDAQ"
"AFH","Atlas Financial Holdings, Inc.","17.46","$209.32M","2013","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afh","NASDAQ"
"TEAM","Atlassian Corporation Plc","24.61","$5.14B","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/team","NASDAQ"
"ATML","Atmel Corporation","8","$3.36B","1991","Technology","Semiconductors","http://www.nasdaq.com/symbol/atml","NASDAQ"
"ATOS","Atossa Genetics Inc.","0.305","$9.29M","2012","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atos","NASDAQ"
"ATRC","AtriCure, Inc.","18.75","$604.06M","2005","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atrc","NASDAQ"
"ATRI","ATRION Corporation","371.6","$677.65M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atri","NASDAQ"
"ATTU","Attunity Ltd.","10.06","$165.7M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/attu","NASDAQ"
"LIFE","aTyr Pharma, Inc.","5.73","$135.51M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/life","NASDAQ"
"AUBN","Auburn National Bancorporation, Inc.","27.6597","$100.78M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/aubn","NASDAQ"
"AUDC","AudioCodes Ltd.","3.93","$163.73M","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/audc","NASDAQ"
"AUPH","Aurinia Pharmaceuticals Inc","2.1","$67.8M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/auph","NASDAQ"
"EARS","Auris Medical Holding AG","4.19","$143.69M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ears","NASDAQ"
"ADAT","Authentidate Holding Corp.","0.56","$295,596.56 ","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/adat","NASDAQ"
"ABTL","Autobytel Inc.","17.8","$186.89M","1999","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/abtl","NASDAQ"
"ADSK","Autodesk, Inc.","49.03","$11.05B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adsk","NASDAQ"
"ADP","Automatic Data Processing, Inc.","81.11","$37.41B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/adp","NASDAQ"
"AVGO","Avago Technologies Limited","124.51","$34.43B","2009","Technology","Semiconductors","http://www.nasdaq.com/symbol/avgo","NASDAQ"
"AAVL","Avalanche Biotechnologies, Inc.","6.42","$165.37M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aavl","NASDAQ"
"AVNU","Avenue Financial Holdings, Inc.","13.34","$137.43M","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/avnu","NASDAQ"
"AVEO","AVEO Pharmaceuticals, Inc.","1.01","$58.76M","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aveo","NASDAQ"
"AVNW","Aviat Networks, Inc.","0.65","$40.63M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/avnw","NASDAQ"
"AVID","Avid Technology, Inc.","7.2","$284.43M","1993","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/avid","NASDAQ"
"AVGR","Avinger, Inc.","16.21","$204.6M","2015","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/avgr","NASDAQ"
"CAR","Avis Budget Group, Inc.","26.08","$2.62B","n/a","Consumer Services","Rental/Leasing Companies","http://www.nasdaq.com/symbol/car","NASDAQ"
"AWRE","Aware, Inc.","3.01","$69.02M","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/awre","NASDAQ"
"ACLS","Axcelis Technologies, Inc.","2.58","$298.54M","2000","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acls","NASDAQ"
"AXPW","Axion Power International, Inc.","0.5912","$2.33M","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/axpw","NASDAQ"
"AXPWW","Axion Power International, Inc.","0.2801","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/axpww","NASDAQ"
"AXGN","AxoGen, Inc.","5.01","$149.73M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/axgn","NASDAQ"
"AXSM","Axsome Therapeutics, Inc.","12.47","$238.64M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/axsm","NASDAQ"
"AXTI","AXT Inc","2.57","$83.63M","1998","Technology","Semiconductors","http://www.nasdaq.com/symbol/axti","NASDAQ"
"BCOM","B Communications Ltd.","23.71","$708.93M","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/bcom","NASDAQ"
"RILY","B. Riley Financial, Inc.","9.09","$148.36M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rily","NASDAQ"
"BOSC","B.O.S. Better Online Solutions","1.7","$39.99M","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/bosc","NASDAQ"
